#doc name topic proportion ...
0	file:/home/noufal/Downloads/topic%20modeling/data/Cluster7	9	0.33363417569193743	0	0.13628158844765342	13	0.0881468110709988	3	0.06407942238267147	18	0.06046931407942238	1	0.05806257521058965	6	0.050240673886883275	4	0.03640192539109507	17	0.02677496991576414	10	0.02316486161251504	14	0.02075812274368231	5	0.015944645006016847	2	0.015944645006016847	15	0.015342960288808664	7	0.014139590854392299	8	0.0105294825511432	12	0.009927797833935019	11	0.009326113116726835	19	0.007521058965102286	16	0.003309265944645006	
1	file:/home/noufal/Downloads/topic%20modeling/data/Cluster3	17	0.24277854195323245	6	0.12998624484181567	14	0.12310866574965612	3	0.109353507565337	1	0.07083906464924347	12	0.03782668500687758	4	0.03782668500687758	18	0.035075653370013754	8	0.032324621733149934	0	0.028198074277854195	9	0.026822558459422285	5	0.024071526822558458	2	0.021320495185694635	16	0.019944979367262722	11	0.018569463548830812	10	0.0171939477303989	13	0.01031636863823934	15	0.006189821182943604	19	0.004814305364511692	7	0.0034387895460797797	
2	file:/home/noufal/Downloads/topic%20modeling/data/Cluster1	16	0.326741440377804	6	0.13488783943329397	14	0.13193624557260922	18	0.11599763872491145	3	0.06523022432113341	1	0.045749704840613935	17	0.024498229043683588	4	0.020956316410861865	0	0.018004722550177096	19	0.016824085005903187	9	0.01564344746162928	15	0.013872491145218418	8	0.013872491145218418	11	0.011511216056670602	10	0.011511216056670602	7	0.00974025974025974	12	0.008559622195985833	5	0.006198347107438017	13	0.005017709563164109	2	0.003246753246753247	
3	file:/home/noufal/Downloads/topic%20modeling/data/Cluster9	8	0.34952520087655226	11	0.09532505478451424	4	0.08144631117604091	14	0.07341124908692476	15	0.06902848794740686	3	0.06537618699780862	18	0.056610664718772824	0	0.04200146092037984	6	0.026661796932067203	1	0.02154857560262966	9	0.020818115412710007	12	0.01716581446311176	17	0.014974433893352812	7	0.014243973703433162	5	0.014243973703433162	19	0.009861212563915266	10	0.009861212563915266	16	0.00620891161431702	13	0.00620891161431702	2	0.00547845142439737	
4	file:/home/noufal/Downloads/topic%20modeling/data/Cluster10	10	0.3204031765424557	13	0.1047648136835675	1	0.10354306658521686	4	0.09682345754428834	18	0.08094074526572999	11	0.07910812461820403	3	0.04673182651191203	17	0.029016493585827734	14	0.02474037874160049	0	0.01863164324984728	8	0.016188149053146	12	0.014355528405620037	7	0.013744654856444716	15	0.012522907758094075	5	0.009468540012217471	16	0.007025045815516188	6	0.007025045815516188	19	0.005803298717165547	9	0.004581551618814905	2	0.004581551618814905	
5	file:/home/noufal/Downloads/topic%20modeling/data/Cluster6	5	0.27252138902868644	13	0.1210367388022144	18	0.10090588827377957	6	0.09889280322093609	4	0.07272269753397081	3	0.0505787619526925	15	0.0420231504781077	11	0.035983895319577255	17	0.03497735279315551	12	0.0334675390035229	1	0.030951182687468545	14	0.02642174131857071	0	0.022898842476094614	8	0.017866129843985907	9	0.013336688475088072	16	0.009310518369401107	2	0.005787619526925012	19	0.004781077000503271	10	0.0027679919476597888	7	0.0027679919476597888	
6	file:/home/noufal/Downloads/topic%20modeling/data/Cluster5	2	0.20982627578718785	6	0.12947882736156352	1	0.10613463626492943	11	0.09473398479913138	0	0.09473398479913138	14	0.06487513572204126	12	0.05564603691639522	18	0.05184581976112921	3	0.046416938110749185	17	0.03501628664495114	8	0.020901194353963082	4	0.01927252985884908	7	0.018186753528773074	16	0.011129207383279044	13	0.010586319218241042	19	0.008957654723127036	15	0.008414766558089034	9	0.007871878393051032	10	0.002985884907709012	5	0.002985884907709012	
7	file:/home/noufal/Downloads/topic%20modeling/data/Cluster2	15	0.29514116874589624	4	0.10866710439921208	14	0.10669730794484569	6	0.09356533158240316	0	0.08108995403808274	11	0.06467498358502954	3	0.05088640840446487	9	0.040380827314510835	5	0.027248850952068287	17	0.024622455679579776	18	0.02068286277084701	8	0.017399868680236377	1	0.01608667104399212	12	0.014773473407747865	19	0.00886408404464872	13	0.00886408404464872	16	0.00623768877216021	2	0.00623768877216021	7	0.005581089954038083	10	0.002298095863427446	
8	file:/home/noufal/Downloads/topic%20modeling/data/Cluster8	12	0.276003870343493	0	0.13909046927914853	4	0.12215771649733914	13	0.08055152394775036	3	0.05684567005321722	9	0.03652636671504596	14	0.03507498790517658	6	0.03459119496855346	18	0.027818093855829704	19	0.02733430091920658	17	0.02539912917271408	15	0.02443154329946783	11	0.0220125786163522	8	0.018626028059990325	1	0.018142235123367198	5	0.0162070633768747	2	0.014755684567005321	10	0.010401548137397194	16	0.007498790517658442	7	0.006531204644412192	
9	file:/home/noufal/Downloads/topic%20modeling/data/Cluster4	7	0.1819760101010101	0	0.09296085858585859	2	0.08065025252525253	3	0.08001893939393939	18	0.078125	14	0.07402146464646464	11	0.07086489898989899	4	0.06613005050505051	12	0.056660353535353536	6	0.052556818181818184	1	0.04876893939393939	17	0.04655934343434343	8	0.016571969696969696	9	0.014362373737373738	13	0.009627525252525252	15	0.007733585858585859	19	0.005839646464646465	5	0.005839646464646465	10	0.005523989898989899	16	0.005208333333333333	
10	file:/home/noufal/Downloads/topic%20modeling/data/Cluster0	19	0.43860386879730867	1	0.08788898233809925	18	0.0744322960470984	14	0.05004205214465938	8	0.04163162321278385	17	0.0391084945332212	10	0.036585365853658534	13	0.03490328006728343	3	0.030698065601345668	15	0.029015979814970564	4	0.025651808242220353	16	0.022287636669470142	6	0.019764507989907486	12	0.01471825063078217	2	0.013036164844407064	11	0.010513036164844407	7	0.008830950378469302	9	0.00798990748528175	0	0.00798990748528175	5	0.006307821698906644	
